state,date,new_cases,new_deaths,total_cases,new_deaths,people_vaccinated_per_hundred
KS,2022-01-14,19414,21,621273,21,70.6
AS,2022-01-02,0,0,11,0,84.9
AR,2020-08-22,547,11,56199,11,
MP,2020-07-17,1,0,37,0,
AS,2020-08-12,0,0,0,0,
HI,2020-06-05,8,0,661,0,
AK,2021-07-27,235,0,71521,0,51.2
HI,2021-10-26,69,0,80876,0,78.4
OK,2021-07-26,1028,8,475578,8,46.9
AS,2021-09-14,0,0,0,0,58.2
NYC,2021-09-23,1755,20,1075197,20,
PW,2021-06-20,0,0,2,0,
GA,2020-03-19,115,7,493,7,
FL,2020-06-27,8262,49,138028,49,
FL,2021-12-24,27783,31,3925762,31,74.1
AK,2020-04-16,7,0,300,0,
AS,2021-08-01,0,0,0,0,51.9
HI,2021-06-17,31,0,35862,0,68.7
TX,2020-05-28,1855,31,59776,31,
UT,2021-06-28,254,2,414204,2,48.1
GA,2021-05-03,870,15,1103659,15,35.4
WV,2021-01-14,827,31,105219,31,0.0
AS,2020-01-24,0,0,0,0,
MP,2022-02-28,174,0,9724,0,87.0
KS,2020-02-05,0,0,0,0,
MA,2021-01-18,3301,69,473441,69,0.0
GA,2020-02-28,0,0,0,0,
CO,2020-01-28,0,0,0,0,
FL,2021-06-27,1536,23,2330427,23,53.2
UT,2021-08-07,672,3,439151,3,53.1
TX,2020-09-01,4364,111,617333,111,
NYC,2020-04-20,2287,505,147860,505,
MA,2021-06-21,48,5,709443,5,69.6
MP,2020-11-16,0,0,102,0,
MP,2020-01-27,0,0,0,0,
PR,2021-05-18,91,2,138252,2,45.6
PW,2021-03-09,0,0,0,0,
MP,2021-07-09,1,0,185,0,53.1
PW,2021-02-23,0,0,0,0,
MA,2021-12-18,0,0,1005470,0,88.9
WV,2020-05-05,18,0,1242,0,
TX,2021-11-14,553,38,4266698,38,62.2
PR,2022-01-11,11528,48,373671,48,89.9
UT,2021-05-09,232,1,400352,1,40.9
WV,2021-08-21,828,2,178361,2,46.7
AS,2020-04-23,0,0,0,0,
WV,2021-04-23,405,5,150693,5,35.1
PR,2021-03-16,68,2,104675,2,15.2
MP,2021-05-12,0,0,170,0,41.4
PR,2020-04-03,26,2,217,2,
CO,2021-06-07,273,12,555740,12,55.3
UT,2020-12-19,2408,8,248970,8,0.0
WV,2020-07-09,119,0,3826,0,
AR,2021-04-30,196,4,335725,4,35.5
CO,2020-07-04,296,0,34832,0,
CO,2021-11-20,2967,0,816701,0,70.3
CO,2022-02-24,859,21,1331263,21,78.3
HI,2020-11-10,69,1,15961,1,
TX,2020-12-16,18802,214,1519340,214,0.0
AK,2021-04-18,141,0,63580,0,39.7
PR,2021-10-10,175,1,182320,1,80.0
TX,2020-03-23,24,2,287,2,
CO,2020-12-05,4818,19,273651,19,
FL,2022-01-03,51224,62,4385131,62,74.6
TX,2020-06-27,5742,83,143366,83,
AK,2021-11-05,856,1,136822,1,59.8
HI,2020-10-10,108,2,13371,2,
HI,2021-07-23,215,0,38499,0,70.9
FL,2021-03-05,4601,87,1898089,87,15.9
FL,2021-04-02,5867,65,2035220,65,29.0
HI,2020-08-08,151,1,3468,1,
AK,2021-02-04,157,0,53273,0,0.0
WV,2020-05-21,36,2,1603,2,
KS,2022-01-06,0,0,549721,0,69.9
NYC,2021-06-13,171,5,952683,5,
MP,2020-08-04,1,0,46,0,
MP,2020-12-30,0,0,122,0,0.0
UT,2021-12-30,3563,6,636992,6,67.4
MA,2020-10-01,754,14,132870,14,
CO,2021-07-04,322,3,566062,3,58.3
NYC,2020-10-14,584,8,255448,8,
MA,2021-08-28,1432,3,755227,3,75.1
WV,2020-11-28,799,6,45845,6,
GA,2021-12-30,24420,64,1816441,64,61.3
UT,2020-12-22,2302,12,255085,12,0.0
CO,2021-06-15,343,10,559048,10,56.2
KS,2020-03-13,2,0,6,0,
PR,2020-05-03,0,0,853,0,
FL,2021-12-18,10874,26,3791483,26,73.5
AS,2021-08-29,0,0,0,0,54.9
KS,2022-02-25,1327,7,765566,7,73.3
CO,2021-05-17,796,0,542186,0,50.6
GA,2020-03-26,303,13,1843,13,
AS,2021-10-31,0,0,4,0,63.3
PR,2021-10-04,58,8,181461,8,79.5
TX,2021-11-13,3849,84,4266084,84,62.2
NYC,2021-02-19,4475,85,696073,85,
MA,2020-12-05,5619,46,252017,46,
GA,2021-12-10,1959,25,1678746,25,59.9
UT,2021-12-25,0,0,623703,0,67.0
KS,2021-08-20,1338,38,356065,38,56.0
NYC,2020-06-29,218,16,217605,16,
AK,2021-01-12,158,0,49152,0,0.0
CO,2021-06-13,398,1,558511,1,56.1
MP,2021-09-21,0,0,265,0,62.6
PW,2021-08-14,0,0,2,0,
KS,2022-02-28,479,9,766045,9,73.4
PW,2021-11-16,0,0,10,0,
HI,2020-10-06,109,3,13009,3,
NYC,2020-10-26,520,3,263841,3,
MA,2020-12-28,4198,76,356934,76,0.0
AS,2020-12-23,0,0,3,0,0.0
GA,2020-04-09,613,42,10693,42,
GA,2020-04-15,686,53,14819,53,
KS,2020-11-11,5672,34,109225,34,
KS,2020-02-22,0,0,0,0,
GA,2020-04-14,844,45,14133,45,
OK,2020-04-13,45,8,2795,8,
MP,2021-09-04,0,0,243,0,61.8
UT,2020-07-11,642,2,29605,2,
HI,2021-07-14,40,0,37174,0,70.5
TX,2021-04-25,1407,37,2864345,37,37.1
UT,2021-02-28,465,6,371235,6,12.2
FL,2020-10-25,3319,49,764316,49,
FL,2021-08-01,13270,172,2647248,172,58.0
NYC,2021-08-13,1953,9,1001223,9,
AS,2021-07-18,0,0,0,0,49.4
AK,2020-05-15,1,0,390,0,
AK,2020-02-24,0,0,0,0,
TX,2020-02-13,0,0,0,0,
KS,2021-04-25,164,0,307700,0,41.8
PR,2020-02-29,0,0,0,0,
MA,2022-02-02,5626,91,1620268,91,95.0
AR,2020-11-27,1052,0,153677,0,
KS,2020-01-23,0,0,0,0,
AR,2020-07-31,752,11,42511,11,
AS,2020-07-03,0,0,0,0,
MA,2021-02-17,1360,35,561936,35,12.6
UT,2021-06-12,357,4,409364,4,46.4
PR,2020-02-27,0,0,0,0,
MA,2020-08-05,338,14,111371,14,
NYC,2022-01-24,7795,223,2209227,223,
MP,2021-12-31,47,0,3255,0,83.6
FL,2022-03-18,1245,23,5833903,23,78.4
PR,2021-09-15,508,15,177797,15,77.4
NYC,2020-09-10,418,2,239481,2,
AS,2020-11-23,0,0,3,0,
GA,2020-10-17,1987,51,362517,51,
TX,2021-02-17,3766,184,2571063,184,0.0
PR,2020-05-21,13,0,1186,0,
UT,2020-11-18,3071,8,162028,8,
MA,2022-03-28,2624,9,1694801,9,95.0
KS,2021-04-02,501,19,302873,19,31.9
MA,2021-02-25,2108,48,575993,48,16.5
UT,2020-08-19,475,6,48260,6,
GA,2022-01-12,18939,57,2069066,57,62.1
AK,2021-06-27,27,0,68272,0,48.5
KS,2022-03-19,0,0,769218,0,73.9
CO,2021-10-11,1627,12,703373,12,66.3
KS,2021-09-15,1833,28,393696,28,58.7
KS,2021-05-05,235,14,310115,14,43.1
WV,2021-11-15,486,26,283561,26,49.3
AR,2020-12-01,1950,10,159309,10,
AK,2020-05-09,1,0,378,0,
AK,2020-06-02,20,0,490,0,
UT,2021-12-16,1104,9,616680,9,66.4
FL,2022-01-09,49132,128,4782404,128,75.3
NYC,2021-02-08,3954,83,651584,83,
PW,2020-07-08,0,0,0,0,
KS,2021-01-18,3688,23,259822,23,0.0
PW,2022-02-05,61,0,2559,0,92.8
OK,2020-04-03,110,6,1963,6,
GA,2020-12-19,5763,49,582300,49,0.0
AS,2020-02-05,0,0,0,0,
